 (1.7000000000000004, 12, 1309.9166666666667),
 (1.8000000000000005, 32, 888.25),
 (1.9000000000000006, 55, 1215.0545454545454),
 (2.0000000000000004, 162, 1397.6296296296296),
 (2.2000000000000006, 198, 1445.9292929292928),
 (2.3000000000000007, 31, 1086.6129032258063),
 (2.400000000000001, 158, 1138.7088607594937),
 (2.500000000000001, 142, 1051.5704225352113),
 (2.600000000000001, 52, 1191.3846153846155),
 (2.700000000000001, 70, 1520.2285714285715),
 (2.800000000000001, 34, 1136.735294117647),
 (2.9000000000000012, 49, 1244.7551020408164),
 (3.0000000000000013, 38, 1162.6052631578948),
