 (1.7000000000000004, 12, 0.10188025236129761),
 (1.8000000000000005, 32, 0.09508989751338959),
 (1.9000000000000006, 55, 0.06873448545282537),
 (2.0000000000000004, 163, 0.07390977561108174),
 (2.2000000000000006, 198, 0.07078108522627088),
 (2.3000000000000007, 31, 0.0686212585818383),
 (2.400000000000001, 158, 0.06415084645717958),
 (2.500000000000001, 142, 0.04459734198073266),
 (2.600000000000001, 52, 0.06798467269310585),
 (2.700000000000001, 70, 0.038857824461800715),
 (2.800000000000001, 34, 0.048410836388083064),
 (2.9000000000000012, 49, 0.03888671252192283),
 (3.0000000000000013, 38, 0.03698851560291491),
